# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 197, mean track length: 2
101 -2.139183269909164 5.1161235996583354 30.455511100921616 122 108 79 0.00703606540247316 128 9735 137 5418
100 -2.8415706931392264 5.0539612140638415 30.50866350480069 33 24 5 0.00099034227922452215 128 9729 137 5348
99 -5.5658674845229799 4.9170935370469806 30.359097968163887 116 104 82 0.46281941461300374 128 9714 137 5182
68 -2.3670751953960085 5.4311588552021011 30.423119471623018 79 69 44 0.51034589566916266 128 8939 137 5431
67 -3.5313439810556249 5.4444882445896905 30.434575765651317 102 91 69 0.093487432408212195 128 8937 137 4538
66 -4.8171318689843927 5.4406628111444846 30.396630611821916 42 31 12 0.58100004102820335 128 8935 137 4381
65 -2.6712886118848593 5.3270344925593438 30.513568398038451 196 185 158 0.23795172043040491 128 8914 137 4611
64 -4.4890080847172635 5.323507885541515 30.3661700163299 160 144 119 0.12915146472741093 128 8913 137 5259
63 -5.3539219112748304 5.3004658884533864 30.297116226458844 214 203 180 0.23869029543911779 128 8908 137 5213
62 -3.1784980256483055 5.3040129027848328 30.47417279355 51 42 13 0.78816869438378157 128 8905 137 4551
61 -2.2364826730279335 5.1447033600021053 30.472463357653069 40 32 11 0.10932909111678818 128 8887 137 4644
60 -2.33644577987332 5.0674007718756044 30.475803057333028 43 35 14 0.26781230996799971 128 8876 137 4613
29 -3.1555526939664316 6.6465491249275059 30.362670373035261 72 55 28 0.15622299746653504 128 6037 137 2615
156 -2.1821641455156966 4.666267543568388 30.416359591899901 153 144 108 0.95423628080015732 128 10537 137 6584
28 -3.1555526939664316 6.6465491249275059 30.362670373035261 72 55 28 0.15622299746653504 128 6036 137 2616
155 -2.0162202315564888 4.566427648724888 30.399693359475499 231 226 206 0.13580891578624388 128 10531 137 6318
139 -2.4051730731963614 5.5468875582674642 30.433692071165659 56 48 26 1.4733609200512507 128 10275 137 5953
12 -4.1837601496396157 5.2400550193287607 30.541743164384741 41 33 11 0.17527360851772497 128 5333 137 1170
140 -2.439393445631199 5.6257690380725887 30.435468170423977 218 213 189 0.025062053325622537 128 10280 137 5956
13 -2.7017029285996506 5.3069812541461125 30.56029147684103 28 16 0 0.56452172530316869 128 5382 137 3548
141 -2.439393445631199 5.6257690380725887 30.435468170423977 218 213 189 0.025062053325622537 128 10281 137 5957
14 -4.4477659224994399 5.5908976302801179 30.367142537680557 39 25 0 0.2805074071309035 128 5506 137 1187
142 -2.7978418163014855 5.847811959457867 30.508450052746309 126 110 76 1.329154759216912 128 10287 137 6348
15 -2.473294171498738 5.5863956899374463 30.429153039165975 59 46 20 0.21050975363742241 128 5508 137 3666
143 -2.0524087412933225 5.889147242095258 30.408431386654886 235 228 209 0.0078048193647149086 128 10291 137 6363
16 -2.7440377955904687 5.6201659391054726 30.548963355339183 99 88 68 0.47879804529898651 128 5519 137 3626
144 -2.191482987524362 5.9810234859615852 30.516934302964774 48 36 10 0.77117419281248423 128 10297 137 6361
17 -3.4915450352166415 5.7447161757258902 30.411625643307971 33 18 0 0.2296219459419111 128 5590 137 3511
145 -3.180813789967381 6.0304381069821043 30.516533358478849 59 48 26 1.2207123941457443 128 10302 137 5427
18 -4.4414761925948323 5.8077503632203058 30.401310139801666 33 23 3 0.23862719648417524 128 5617 137 2242
146 -3.3156386808701277 6.2349521928803782 30.556280817202143 233 229 218 0.22293071158650146 128 10307 137 6346
19 -2.4792319242633818 5.8090943513476203 30.470934869440097 126 114 90 0.043700152717953439 128 5623 137 2543
147 -3.3156386808701277 6.2349521928803782 30.556280817202143 233 229 218 0.22293071158650146 128 10308 137 6345
20 -5.1520272435976393 5.8242750413110196 30.367184657568913 39 29 3 0.029605187847719525 128 5629 137 1158
148 -2.4799161096521476 6.3585429407336935 30.350195863787317 236 236 228 0.1359501236837749 128 10317 137 5994
21 -2.1579881600189577 5.9464785728943141 30.436779795104954 123 111 89 0.03011900766899785 128 5709 137 2621
149 -4.3464431218813289 6.3991406921362017 30.404402118349964 84 68 43 0.39802119329315111 128 10318 137 5372
22 -2.9778180979096347 6.0167903991252221 30.535695621271227 117 102 81 0.030702530458818961 128 5734 137 3673
150 -3.6504206732201392 6.4140136215946288 30.391775118051999 55 43 31 0.48932788552517648 128 10320 137 5948
23 -3.0358129217191201 6.0483953069250163 30.48392400955537 140 131 92 0.13128024672905236 128 5749 137 2497
151 -3.3164694543791069 6.4921798986102939 30.456611226851564 62 51 35 0.47969250931243007 128 10322 137 5965
24 -3.0358129217191201 6.0483953069250163 30.48392400955537 140 131 92 0.13128024672905236 128 5750 137 2498
152 -2.873174961361753 6.5789062372488791 30.318417595378889 160 146 107 0.54732307002535907 128 10327 137 5991
25 -5.0084544409404659 6.1005102714915482 30.327745567494343 110 92 54 0.07588231339942933 128 5789 137 2218
153 -2.0997561202673798 4.3197449534719388 30.402223433933894 237 231 215 0.23473452055923461 128 10525 137 6301
26 -3.5418724786942564 6.1331792224991464 30.300788487954087 55 43 27 0.021779048292622966 128 5811 137 2441
154 -2.0997561202673798 4.3197449534719388 30.402223433933894 237 231 215 0.23473452055923461 128 10526 137 6302
27 -4.121776277171044 6.2290331546578823 30.329652532769561 128 114 91 0.18056591507587427 128 5848 137 3518
157 -2.0952897812171321 4.8852550851035224 30.396795186732277 42 34 13 1.1492679900448266 128 10543 137 6329
30 -3.0309100768899424 6.7734647974297237 30.399514338638809 126 112 86 0.36390818332960978 128 6077 137 2655
158 -2.1288439869186888 5.2165625506921156 30.452400311586189 54 47 31 0.42362418432637389 128 10551 137 6342
31 -1.2231913568181345 0.64450004506714609 25.264588233773164 86 96 85 0.5684794868452574 128 6821 137 3100
159 -1.9668557271041764 5.531847487623172 30.439055484543488 58 47 27 2.3851405567005362 128 10555 137 6603
32 -2.4521750248862917 3.7103506740707015 30.218310743751601 159 149 113 0.1012034969634798 128 7168 137 3307
160 -4.6091080549535084 5.6001714857118428 30.388093647931118 30 21 4 0.19851040711928861 128 10557 137 5871
33 -2.2366938744638816 4.3710854941124992 30.387006982781877 154 145 116 0.36994658454238716 128 7326 137 4518
161 -3.8757219061051278 5.782498571242642 30.51106876945267 225 221 210 0.02203128584241338 128 10561 137 6577
34 -2.328735608419553 4.9485758932971038 30.437168269254606 36 28 7 0.10328272987067999 128 7474 137 4591
162 -4.903825953333115 6.078550008642531 30.342664800539772 61 49 23 0.27393000252685906 128 10570 137 6561
35 -4.6509794633051733 4.9922952929847009 30.425588421309918 173 163 136 0.15056004715393692 128 7482 137 4335
163 -2.6520444212829641 6.1020851237866562 30.488451794782808 34 27 8 0.51187074015754097 128 10572 137 6356
36 -3.1269350792538071 5.0104806042367773 30.366269035239466 194 183 155 0.22229443616412947 128 7488 137 3426
164 -3.1744763436962367 6.1320873234851891 30.515626475184156 43 35 14 0.29488464601880171 128 10574 137 6347
37 -5.2510663332145153 5.3019661169390924 30.246732385849306 161 149 126 0.18541927889979551 128 7576 137 3238
165 -3.1090087277091527 6.2097333663491163 30.510646481731808 159 143 98 0.24527677951549248 128 10578 137 6351
38 -4.0143002619537187 5.3626543180032211 30.51608765577479 202 196 177 0.052162770088792471 128 7589 137 4450
166 -3.1090087277091527 6.2097333663491163 30.510646481731808 159 143 98 0.24527677951549248 128 10579 137 6352
39 -4.1408101888418294 5.5714258260003771 30.356008097783342 135 119 94 1.0866356653925404 128 7638 137 4476
167 -3.2169411584170762 6.2616864117827786 30.523990946439252 44 36 15 1.0744333568758699 128 10582 137 6350
40 -3.3487342058795448 5.7264276669879086 30.420712629006282 43 35 12 0.32249066977045182 128 7680 137 3531
168 -2.8751457431507581 6.4408841305495743 30.441619147938567 61 50 28 0.53134673639258667 128 10590 137 6359
