image_name,fft_score,is_fft_blurry,fft_kept,exposure_mean,exposure_score,contrast_score,entropy_score,contrast_norm,entropy_norm,raw_score,accepted
0017,0.774465,False,True,0.4921827999078371,0.9843655998156742,0.8900223188829106,7.677615642547607,0.41042259335517883,0.794659435749054,0.7476755257839814,True
0018,0.777905,False,True,0.49925246067828344,0.9985049213565669,0.8871519795967092,7.667629241943359,0.4035870134830475,0.7704792022705078,0.7456762274220246,True
0019,0.822871,False,True,0.5110368448629184,0.9779263102741631,0.8876139355921273,7.648512363433838,0.40468722581863403,0.7241913080215454,0.7505093688228686,True
0020,0.669587,False,True,0.5118826088191233,0.9762347823617534,0.8872135065812232,7.632702350616455,0.40373364090919495,0.6859102845191956,0.6810105415580289,True
0021,0.569209,False,True,0.503670392023166,0.992659215953668,0.8942446898088777,7.645492076873779,0.4204777181148529,0.7168782353401184,0.6536866338817278,True
0022,0.639666,False,True,0.49987638860384814,0.9997527772076963,0.9052339408598745,7.664763450622559,0.4466477036476135,0.7635402679443359,0.6978545497599291,True
0023,0.608945,False,True,0.5138287147949469,0.9723425704101063,0.9026175287622464,7.6224188804626465,0.44041696190834045,0.6610108017921448,0.6583320668221182,True
0024,0.783549,False,True,0.5191776251618389,0.9616447496763223,0.9147483378431801,7.612122058868408,0.4693054258823395,0.636078953742981,0.7268254258603286,True
0025,0.649546,False,True,0.5088258525141764,0.9823482949716471,0.9251661443318415,7.653639793395996,0.49411460757255554,0.7366064190864563,0.7024322643261318,True
0026,0.620843,False,True,0.4898345468993926,0.9796690937987852,0.926786634728298,7.662250518798828,0.497973769903183,0.7574556469917297,0.6953569021387397,True
0027,0.669741,False,True,0.4991746618766159,0.9983493237532318,0.9287420677174895,7.635406494140625,0.502630352973938,0.6924578547477722,0.7065839062949885,True
0028,0.704908,False,True,0.5110775764942828,0.9778448470114345,0.9403873286104344,7.5924811363220215,0.5303625464439392,0.58852219581604,0.7013091178542828,True
0029,0.733862,False,True,0.5157790936982687,0.9684418126034626,0.977221752711619,7.593025207519531,0.6180806756019592,0.589839518070221,0.7288172012551286,True
0030,0.55066,False,True,0.5298153672760992,0.9403692654478015,0.9857374413717359,7.570677757263184,0.6383600831031799,0.5357293486595154,0.6431557394420994,True
0031,0.540853,False,True,0.5409758772090333,0.9180482455819334,0.9922738628346567,7.553991317749023,0.6539260745048523,0.49532628059387207,0.6298013201361317,True
0032,0.485766,False,True,0.5573537516518132,0.8852924966963736,0.9808725642177912,7.516300201416016,0.6267748475074768,0.4040643274784088,0.5775327343364519,True
0033,0.532777,False,True,0.5625367839186859,0.8749264321626282,0.9536269601158593,7.541911602020264,0.5618916153907776,0.4660775363445282,0.5936899167795868,True
0034,0.569268,False,True,0.535129522352383,0.929740955295234,0.9389685090769441,7.597898960113525,0.5269837379455566,0.6016404032707214,0.6393802193023024,True
0035,0.51778,False,True,0.5419744223545593,0.9160511552908814,0.9029455597014769,7.568560600280762,0.4411981999874115,0.5306030511856079,0.5846824812927802,True
0036,0.367197,True,False,0.5638495949038326,0.8723008101923349,0.8577598497935401,7.5044708251953125,0.33359214663505554,0.3754217028617859,0.4631417319378353,True
0037,0.555695,False,True,0.5795689964343964,0.8408620071312072,0.8468790570561163,7.50931978225708,0.30768051743507385,0.38716253638267517,0.5294190121897913,True
0038,0.447585,False,True,0.5696725562509412,0.8606548874981177,0.827899842372789,7.5107550621032715,0.26248300075531006,0.3906378149986267,0.48178914065041095,True
0039,0.286886,True,True,0.575078199891813,0.8498436002163741,0.8463060527147325,7.532374858856201,0.3063158690929413,0.4429861009120941,0.4345835140442819,False
0040,0.236052,True,False,0.5835325687637826,0.8329348624724349,0.8772745514870851,7.434381484985352,0.38006487488746643,0.20571351051330566,0.37816344957464143,False
