image_name,weight,quality_score,raw_score,mask_score,geo_score
0123,0.903353,0.758382,0.643779,0.967440,0.488558
0124,0.899266,0.748165,0.565804,0.980178,0.545269
0125,0.901335,0.753338,0.571824,0.980414,0.560067
0126,0.897576,0.743939,0.536980,0.989493,0.553622
0127,0.892865,0.732162,0.492624,0.985768,0.580743
0128,0.893789,0.734472,0.544467,0.970985,0.534824
0129,0.891412,0.728530,0.534181,0.980798,0.501036
0130,0.894784,0.736961,0.533515,0.980207,0.545689
0131,0.899008,0.747521,0.421487,1.000000,0.750000
0132,0.877559,0.693897,0.491658,0.942038,0.489495
0133,0.902727,0.756817,0.448048,1.000000,0.750000
0134,0.899271,0.748178,0.423365,1.000000,0.750000
0135,0.893327,0.733317,0.452130,0.966493,0.700748
0136,0.885506,0.713765,0.524962,0.958898,0.492618
0137,0.878940,0.697351,0.472900,0.946909,0.528635
0138,0.895657,0.739142,0.397548,1.000000,0.750000
0139,0.896435,0.741087,0.403106,1.000000,0.750000
0140,0.879908,0.699769,0.461978,0.960601,0.529032
0141,0.879788,0.699471,0.482394,0.962952,0.486521
0142,0.890828,0.727069,0.537850,0.933579,0.593557
0143,0.886821,0.717053,0.545524,0.929120,0.540075
0144,0.881330,0.703324,0.497518,0.935053,0.542095
0145,0.879288,0.698220,0.489412,0.937577,0.525081
0146,0.882265,0.705661,0.512022,0.938561,0.520507
0147,0.879369,0.698421,0.500216,0.941573,0.498188
0148,0.881562,0.703905,0.552894,0.926961,0.466296
0149,0.897152,0.742880,0.558397,0.935889,0.631457
0150,0.876853,0.692133,0.458728,0.938431,0.546420
0151,0.881303,0.703258,0.529668,0.938822,0.477023
0152,0.877330,0.693326,0.504479,0.941007,0.466525
0153,0.902591,0.756477,0.447078,1.000000,0.750000
0154,0.897157,0.742891,0.614740,0.925199,0.556964
0155,0.884502,0.711254,0.579441,0.939078,0.429324
0156,0.884697,0.711744,0.588694,0.938940,0.415888
0157,0.884788,0.711971,0.592167,0.875642,0.553367
0158,0.875206,0.688015,0.523841,0.888337,0.524594
0159,0.889897,0.724742,0.548417,0.893268,0.654127
0160,0.889505,0.723763,0.646119,0.869871,0.530901
0161,0.902116,0.755289,0.633874,0.877989,0.691691
0162,0.888749,0.721873,0.623822,0.880673,0.536161
0163,0.890962,0.727405,0.641018,0.878257,0.539164
0164,0.872530,0.681324,0.545477,0.867063,0.501145
0165,0.901879,0.754697,0.441991,1.000000,0.750000
0166,0.882223,0.705557,0.607419,0.878951,0.487164
0167,0.892380,0.730950,0.595037,0.913386,0.558315
0168,0.906398,0.765995,0.676713,0.950283,0.507592
0169,0.915116,0.787791,0.693651,0.972554,0.536818
0170,0.902656,0.756641,0.651614,0.947140,0.511815
0171,0.899182,0.747956,0.525904,0.965062,0.648059
0172,0.878520,0.696299,0.498386,0.921795,0.535282
0173,0.883154,0.707885,0.498670,0.928343,0.577980
0174,0.881003,0.702508,0.465142,0.934039,0.596957
0175,0.892763,0.731908,0.535066,0.931391,0.627542
0176,0.885966,0.714914,0.498869,0.931112,0.606547
0177,0.882590,0.706475,0.453404,0.932418,0.640977
0178,0.894945,0.737363,0.392466,1.000000,0.750000
0179,0.874116,0.685289,0.451846,0.908252,0.592149
0180,0.885326,0.713315,0.543491,0.906999,0.574720
0181,0.891212,0.728030,0.515982,0.903294,0.704772
0182,0.879959,0.699898,0.486698,0.897050,0.629407
0183,0.869243,0.673109,0.482874,0.873671,0.554753
0184,0.898086,0.745216,0.414903,1.000000,0.750000
0185,0.867472,0.668679,0.477628,0.864204,0.563086
0186,0.882190,0.705475,0.488374,0.875736,0.702317
0187,0.893350,0.733374,0.381068,1.000000,0.750000
0188,0.894095,0.735237,0.386391,1.000000,0.750000
0189,0.868367,0.670917,0.458000,0.856545,0.625858
0190,0.894081,0.735204,0.386296,1.000000,0.750000
0191,0.873581,0.683952,0.520535,0.865776,0.560826
0192,0.866426,0.666064,0.481306,0.805426,0.675826
0193,0.855162,0.637906,0.513630,0.779478,0.536849
0194,0.874934,0.687335,0.575141,0.807125,0.614147
0195,0.849833,0.624581,0.523387,0.727236,0.570698
0196,0.861406,0.653515,0.479561,0.823005,0.576581
0197,0.889835,0.724587,0.578800,0.879741,0.630619
0198,0.877319,0.693298,0.481000,0.920361,0.553928
0199,0.888541,0.721353,0.543247,0.940860,0.539146
0200,0.890781,0.726954,0.502259,0.963246,0.588512
0201,0.888191,0.720476,0.467368,0.983742,0.571067
0202,0.895313,0.738282,0.395091,1.000000,0.750000
0203,0.895399,0.738497,0.395705,1.000000,0.750000
0204,0.895855,0.739637,0.398962,1.000000,0.750000
0205,0.899368,0.748419,0.424056,1.000000,0.750000
0206,0.851248,0.628119,0.520750,0.749321,0.543311
0207,0.894589,0.736473,0.389924,1.000000,0.750000
0208,0.899011,0.747527,0.421505,1.000000,0.750000
0209,0.846018,0.615045,0.486094,0.778904,0.472025
