样本名,帧编号,提示词编号,提示词文本,F1,mIoU,HD95像素,边界F分数,面积比例,连通域数,时序IoU,外部非黑比例,泄漏能量,原图路径,掩膜路径,人工标注路径,失败类型,失败描述
KongQueZhuYu,0100,P1,green plant,0.981576,0.974360,51.619122,0.337074,0.287351,1,0.325662,0.000718,0.000504,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P1_绿色植物/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0100,P2,entire plant excluding pot,0.982891,0.976149,50.249821,0.384912,0.288257,1,0.336445,0.000826,0.000581,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0100,P3,leaves and stems,0.981821,0.974690,51.242744,0.336419,0.287618,1,0.000000,0.000809,0.000569,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P3_叶和茎/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0100,P4,crop seedling,0.000000,0.351445,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P4_作物幼苗/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
KongQueZhuYu,0100,P5,plant body without background,0.981909,0.974813,51.669682,0.340340,0.287511,1,0.000000,0.000695,0.000489,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P5_去背景植物体/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
DouBanLv1,0000,P1,green plant,0.775286,0.764137,1013.096436,0.296265,0.153319,1,,0.000346,0.000262,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P1_绿色植物/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,提示词敏感,该提示词在此帧上明显低于 P2 默认提示
DouBanLv1,0000,P2,entire plant excluding pot,0.970619,0.962513,324.865173,0.402019,0.228481,1,,0.000507,0.000385,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
DouBanLv1,0000,P3,leaves and stems,0.775535,0.764341,1014.139954,0.303535,0.153428,1,,0.000369,0.000280,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P3_叶和茎/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,提示词敏感,该提示词在此帧上明显低于 P2 默认提示
DouBanLv1,0000,P4,crop seedling,0.000000,0.379240,4405.814340,0.000000,0.000000,0,,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P4_作物幼苗/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
DouBanLv1,0000,P5,plant body without background,0.000000,0.379240,4405.814340,0.000000,0.000000,0,,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/候选掩膜/P5_去背景植物体/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png,主体召回不足,语义提示过保守，目标植物主体未被召回
