method,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
RAP-FSAM3-v2,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.9948422918907539,0.9543154003921657,0.9741575285279489,0.9657167813924177,0.9496170763236815,286.86053466796875,0.30984652232690174,0.2565679253472222,1,0.3091110555910668,0.001806466478493075,0.0013233024691358024
RAP-FSAM3-v2,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.9963207419006259,0.9731361537896559,0.9845919825264402,0.9784608930445879,0.9696515741289959,47.78824996948242,0.467412535496558,0.29019663869598766,1,0.33804221054050887,0.0015190272050980035,0.0010677083333333333
RAP-FSAM3-v2,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9938213412832703,0.9328267059599092,0.9623585266945425,0.9552281757385664,0.9274480169233237,172.33624267578125,0.42995529020725926,0.17955729166666667,1,0.3823738006802723,0.0013718566339748748,0.001109423225308642
SAM2_oracle_box,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.9936199870923724,0.6758251861762203,0.8044749519391113,0.7904764921110482,0.6729051417567112,303.6501159667969,0.3665362228882608,0.16009560667438272,1,,0.0013358387141890133,0.001021412037037037
SAM2_oracle_box,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9859102543995834,0.945545833616505,0.9653062672782333,0.9487315787897791,0.9329391265751563,355.1916809082031,0.29288683119070275,0.3351702353395062,3,0.26182961520633924,0.0072595018947540875,0.004722463348765432
SAM2_oracle_box,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9930531648979959,0.8125595453452954,0.8937850554502323,0.8757492818935564,0.8079668963557576,338.07037353515625,0.14075535942270243,0.19331886574074075,2,0.5102810049475613,0.001758393650018888,0.0013429542824074075
SAM2_oracle_box,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.9882031301052838,0.9611381820640538,0.9744827691795123,0.966056998327788,0.950235393314509,189.09030151367188,0.19065783804457057,0.26013828607253087,2,0.325654534778229,0.004189303730280861,0.0030688175154320986
SAM2_oracle_box,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.9949913474119617,0.9757181702459022,0.985260514762329,0.9793672776853708,0.9709492230230526,50.664119720458984,0.5310704776844096,0.29135537229938274,1,0.33623025074679536,0.0020761410671303335,0.001459297839506173
SAM2_oracle_box,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM2_oracle_box/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.8114645882533107,0.9517628388947641,0.8760320175233783,0.8582049017255888,0.7794101177091134,333.84161376953125,0.24568703172674639,0.2243724681712963,6,0.45199606252439706,0.05230870560958469,0.0423021556712963
SAM3_P2,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.9964365609702595,0.9516113418056596,0.9735082299135822,0.9663372612965784,0.9483838626700583,15.062299728393555,0.337270442384181,0.22478913483796295,1,,0.001047605337236993,0.0008010223765432099
