image_name,weight,quality_score,raw_score,mask_score,geo_score
crop_0136,0.886559,0.716398,0.523900,0.914376,0.607817
crop_0137,0.887797,0.719492,0.534976,0.930193,0.568317
crop_0138,0.901063,0.752656,0.436161,1.000000,0.750000
crop_0139,0.898299,0.745748,0.416422,1.000000,0.750000
crop_0140,0.899633,0.749083,0.425951,1.000000,0.750000
crop_0141,0.901737,0.754342,0.440978,1.000000,0.750000
crop_0142,0.902350,0.755875,0.445358,1.000000,0.750000
crop_0143,0.900074,0.750185,0.429100,1.000000,0.750000
crop_0144,0.865562,0.663905,0.481973,0.894216,0.464086
crop_0145,0.878219,0.695547,0.550060,0.932194,0.417694
crop_0146,0.860814,0.652036,0.488523,0.859789,0.470739
crop_0147,0.902645,0.756613,0.447465,1.000000,0.750000
crop_0148,0.894734,0.736835,0.390957,1.000000,0.750000
crop_0149,0.892954,0.732385,0.378243,1.000000,0.750000
crop_0150,0.901714,0.754285,0.440814,1.000000,0.750000
crop_0151,0.858595,0.646488,0.457362,0.773554,0.691563
crop_0152,0.891262,0.728156,0.366160,1.000000,0.750000
crop_0153,0.884874,0.712185,0.320529,1.000000,0.750000
crop_0154,0.890767,0.726916,0.362618,1.000000,0.750000
crop_0155,0.896532,0.741331,0.403803,1.000000,0.750000
crop_0156,0.902207,0.755517,0.444334,1.000000,0.750000
crop_0157,0.873428,0.683569,0.524523,0.923228,0.422666
crop_0158,0.884970,0.712425,0.575943,0.933119,0.454708
crop_0159,0.905119,0.762796,0.688500,0.945024,0.482802
crop_0160,0.869191,0.672976,0.507076,0.870368,0.519173
crop_0161,0.847932,0.619830,0.451798,0.771634,0.572325
crop_0162,0.902094,0.755235,0.443527,1.000000,0.750000
crop_0163,0.859676,0.649190,0.460460,0.763810,0.721574
crop_0164,0.840243,0.600606,0.454973,0.764876,0.485858
crop_0165,0.857681,0.644204,0.499105,0.822971,0.495901
crop_0166,0.857562,0.643905,0.471268,0.829370,0.528724
crop_0167,0.900860,0.752151,0.434717,1.000000,0.750000
crop_0168,0.900040,0.750101,0.428859,1.000000,0.750000
crop_0169,0.865474,0.663685,0.488974,0.818229,0.621708
crop_0170,0.871650,0.679124,0.522563,0.901072,0.453723
crop_0171,0.886503,0.716256,0.471085,0.951091,0.616928
crop_0172,0.869373,0.673432,0.460927,0.929296,0.469620
crop_0173,0.886222,0.715554,0.586707,0.915104,0.492049
crop_0174,0.877244,0.693111,0.479110,0.936436,0.520129
crop_0175,0.895702,0.739256,0.577181,0.957387,0.532091
crop_0176,0.885811,0.714528,0.555666,0.903495,0.567357
crop_0177,0.895339,0.738349,0.395282,1.000000,0.750000
crop_0178,0.907939,0.769848,0.659922,0.905170,0.657747
crop_0179,0.885887,0.714718,0.576225,0.876693,0.592638
crop_0180,0.880415,0.701037,0.587464,0.879386,0.498506
crop_0181,0.875946,0.689866,0.474532,0.888208,0.620431
crop_0182,0.889454,0.723636,0.615069,0.883819,0.553217
crop_0183,0.880099,0.700248,0.543555,0.904485,0.514929
crop_0184,0.882720,0.706801,0.593401,0.891718,0.489186
crop_0185,0.872710,0.681775,0.591902,0.832188,0.500621
crop_0186,0.848195,0.620488,0.469759,0.807831,0.462740
crop_0187,0.900206,0.750515,0.430044,1.000000,0.750000
crop_0188,0.876723,0.691807,0.467967,0.917512,0.575693
crop_0189,0.878682,0.696705,0.484875,0.956024,0.483942
crop_0190,0.873358,0.683394,0.475746,0.943510,0.461520
crop_0191,0.902392,0.755980,0.445656,1.000000,0.750000
crop_0192,0.893508,0.733770,0.382199,1.000000,0.750000
crop_0193,0.884856,0.712139,0.496252,0.984804,0.476445
crop_0194,0.896212,0.740531,0.629420,0.953970,0.454738
crop_0195,0.915275,0.788187,0.769848,0.935517,0.488788
crop_0196,0.914964,0.787409,0.741943,0.891456,0.632867
crop_0197,0.880244,0.700611,0.676745,0.803725,0.510370
crop_0198,0.866454,0.666135,0.647751,0.776194,0.450675
crop_0199,0.877675,0.694187,0.631269,0.826132,0.507418
crop_0200,0.882106,0.705264,0.630737,0.856697,0.494963
crop_0201,0.860339,0.650849,0.534444,0.839672,0.429702
crop_0202,0.875138,0.687844,0.577009,0.855192,0.505273
crop_0203,0.854213,0.635531,0.542838,0.778917,0.475127
crop_0204,0.891045,0.727613,0.364607,1.000000,0.750000
