sample,frame,image,mask,detector_id,sam_model,prompt,box_threshold,text_threshold,num_boxes,best_score,boxes_xyxy,foreground_ratio
ChangShouHua2,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0000.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7111750245094299,-1.8 20.5 2157.3 2548.0,0.2580280671296296
ChangShouHua2,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0025.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7000066041946411,16.5 291.1 1909.9 2353.9,0.229995418595679
ChangShouHua2,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0050.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.6614307761192322,73.8 344.8 1835.1 2125.1,0.19159698109567902
ChangShouHua2,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0075.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.6947529315948486,283.8 37.3 1691.1 2243.1,0.2150314670138889
ChangShouHua2,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0100.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7187514305114746,1.9 169.2 2160.6 2368.9,0.2731501977237654
CaoMei1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0000.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.690498948097229,623.4 508.8 1661.3 2150.7,0.12245225694444445
CaoMei1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0025.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7507656812667847,701.2 764.7 1806.0 2454.3,0.1242918113425926
CaoMei1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0050.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7317488789558411,754.1 1200.4 1726.3 2486.7,0.07797996238425926
CaoMei1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0075.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7430953979492188,123.3 882.3 1178.2 2183.8,0.09202787422839506
CaoMei1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0100.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7425971627235413,238.1 6.8 1281.9 1313.5,0.1161915268132716
