image_stem,source_mask,output_mask,orig_area,clean_area,delta_pixels,components_after
0037,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0037.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0037.png,2422753,2422897,144,1
0038,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0038.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0038.png,2583674,2583821,147,1
0039,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0039.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0039.png,2484889,2485068,179,1
0040,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0040.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0040.png,2464658,2464811,153,1
0041,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0041.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0041.png,2511729,2511889,160,1
0042,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0042.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0042.png,2593686,2593892,206,1
0043,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0043.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0043.png,2647727,2647899,172,1
0044,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0044.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0044.png,2498753,2498931,178,1
0045,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0045.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0045.png,2280137,2280316,179,1
0046,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0046.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0046.png,2292397,2277929,-14468,1
0047,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0047.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0047.png,2080376,2056986,-23390,1
