setting,setting_name,sample,frames,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,temporal_iou,area_cv,component_count_mean,outside_nonblack_ratio,leakage_energy,source_stage,status,notes
A1s,语义门控多提示词选择,DouBanLv1,5,0.9914380566057683,0.9575012375271094,0.9741741766809208,0.9700740650717123,0.9496487167080289,99.26482753753662,0.42929439281194215,0.3884586972704869,0.2927759066990993,1.0,0.0015598306533449989,0.001312282986111111,选择后掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的语义门控选择后掩膜。
A1s,语义门控多提示词选择,KongQueZhuYu,5,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22754020690918,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531,选择后掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的语义门控选择后掩膜。
A2,A1s+结构化正负提示,CaoMei1,5,0.9935818166993431,0.9067092283383015,0.9481598144273553,0.9439848973015947,0.901429539803289,499.8376098632813,0.4929523817586993,0.29959265766948906,0.1814157274015355,1.0,0.0008053146985031614,0.0007079716435185185,正负提示细化掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的 SPNP/结构化正负提示细化掩膜。
A2,A1s+结构化正负提示,ChangShouHua2,5,0.9905487403242963,0.943548202707487,0.9664773909027332,0.9557089806758201,0.9351294131309866,76.86029052734375,0.4651027484408514,0.4821190448036407,0.1969696716871134,1.0,0.0033294256621824677,0.0024305555555555556,正负提示细化掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的 SPNP/结构化正负提示细化掩膜。
A2,A1s+结构化正负提示,DouBanLv1,5,0.9888363844791757,0.9627643362463714,0.975626208013926,0.9717005700205432,0.9524123085210572,102.01271533966064,0.4837030682986687,0.3897713179544085,0.2925384968845251,1.0,0.0020503677724306732,0.0017249710648148148,正负提示细化掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的 SPNP/结构化正负提示细化掩膜。
A2,A1s+结构化正负提示,KongQueZhuYu,5,0.9949199825597348,0.9694612786351628,0.9820256561043801,0.97561873862993,0.9646860571616469,84.09151859283448,0.42834747946837853,0.4126283937978389,0.1630427562852766,1.0,0.0018977917726842207,0.0013718412422839507,正负提示细化掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的 SPNP/结构化正负提示细化掩膜。
A5c,完整RAP-FSAM3-v2,CaoMei1,5,0.989476690477884,0.9074542969713908,0.9466921890865018,0.942452567647333,0.8987801849351782,471.98695220947263,0.475742025683088,0.299660823595842,0.18148018633499718,1.0,0.0013269686016682996,0.0011665702160493826,最终掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的最终掩膜，包含重建一致性修正。
A5c,完整RAP-FSAM3-v2,ChangShouHua2,5,0.9901362997999577,0.9436414460651482,0.9663299226011501,0.955515392612122,0.9348533383425822,76.53232879638672,0.4630846821784389,0.4823542566665733,0.19715649894091208,1.0,0.0034765083256120166,0.0025379292052469136,最终掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的最终掩膜，包含重建一致性修正。
A5c,完整RAP-FSAM3-v2,DouBanLv1,5,0.9883819449815017,0.9631347587255157,0.9755950377469388,0.9716629112771362,0.9523529011429517,101.38957557678222,0.48619092851544166,0.3899635248876926,0.2925164430497747,1.0,0.0021356349608197987,0.0017967062114197531,最终掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的最终掩膜，包含重建一致性修正。
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,5,0.9946158592820342,0.9697597958632873,0.9820305705105865,0.9756225224293567,0.9646955419900448,83.75594825744629,0.43200731736768,0.41276909532373307,0.16297605304862303,1.0,0.0020126406481759643,0.0014548611111111112,最终掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的最终掩膜，包含重建一致性修正。
