image_name,foreground_ratio,largest_component_ratio,hole_ratio,boundary_ratio,area_score,hole_score,boundary_score,temporal_score,mask_score,accepted,accept_rule
crop_0102,0.23336636766975308,0.9671456484020392,0.015120110516753105,0.017924021026232407,0.6667610504850088,0.11156421899795532,0.171389639377594,0.0,0.5458229059899559,True,threshold_0.450
crop_0105,0.2323656925154321,0.9577644559785913,0.017000685921580275,0.01935607156635569,0.6639019786155202,0.0,0.0872809886932373,0.9753691256046295,0.6660003981497039,True,threshold_0.450
crop_0106,0.2251051311728395,0.9662430534424468,0.014690602384851745,0.018017578124997827,0.6431575176366844,0.13704460859298706,0.1658947467803955,0.9637455120682716,0.6869487957344117,True,threshold_0.450
crop_0107,0.22305386766975308,0.9561412422471911,0.01091347593478242,0.01567045235339317,0.6372967647707231,0.3611208200454712,0.3037486672401428,0.9680019058287144,0.7273206902273117,True,threshold_0.450
crop_0108,0.23407118055555556,0.9599233574381606,0.004529534169806266,0.010307918595677769,0.6687748015873016,0.7398451864719391,0.6187067329883575,0.9574501663446426,0.8136347500330878,True,threshold_0.450
crop_0109,0.22599464699074073,0.9697608416150687,0.006306248632958134,0.011994839891973863,0.6456989914021164,0.6344424486160278,0.5196286737918854,0.9604483433067799,0.7878786406944838,True,threshold_0.450
crop_0111,0.2221113040123457,0.969400416874216,0.005787936687145391,0.011232880015430744,0.6346037257495591,0.6651910841464996,0.5643808841705322,0.9904346810653806,0.7945348480637175,True,threshold_0.450
crop_0113,0.24307436342592592,0.9810590053542577,0.0025226222574034336,0.008009379822529899,0.6944981812169313,0.8589043021202087,0.7537069320678711,0.9279158934950829,0.8483603094805074,True,threshold_0.450
crop_0114,0.21047453703703703,0.9792823755837118,0.001542594629272327,0.005475742669752426,0.6013558201058201,0.9170439764857292,0.9025151804089546,0.9289814382791519,0.8270152607511692,True,threshold_0.450
crop_0115,0.3195998505015432,0.9795574239430699,0.002607804400711381,0.009772979359566723,0.9131424300044092,0.8538509011268616,0.6501252949237823,0.7781140804290771,0.900954369974198,True,threshold_0.450
crop_0116,0.2874924045138889,0.9880813242763862,0.0037520281374836075,0.010334321952159248,0.8214068700396826,0.7859703749418259,0.6171559393405914,0.9160877838730812,0.8785240443661322,True,threshold_0.450
crop_0117,0.3625119357638889,0.9906369488815289,0.0008464094446653269,0.0078502363040114,0.9642516121031744,0.958344828337431,0.7630539089441299,0.8383428305387497,0.9520995391488682,True,threshold_0.450
crop_0118,0.3459724633487654,0.9868798599399831,0.001392860552948079,0.008390118634258247,0.9884927524250441,0.9259268790483475,0.7313449680805206,0.9581338241696358,0.9709418707658752,True,threshold_0.450
crop_0119,0.30839699074074073,0.9836866606615159,0.002308082040118443,0.00852900752314712,0.8811342592592593,0.8716317862272263,0.7231875956058502,0.9162719249725342,0.9152701349305208,True,threshold_0.450
crop_0120,0.283168643904321,0.993524541514636,0.0024443163365133243,0.008082441165122483,0.80905326829806,0.8635497540235519,0.7494158148765564,0.929290808737278,0.8933295784740138,True,threshold_0.450
crop_0121,0.2830655623070988,0.9900411396080473,0.00221563560673694,0.007949821566357066,0.8087587494488537,0.8771161437034607,0.7572049498558044,0.9923366960138083,0.9043516373322764,True,threshold_0.450
crop_0122,0.3030120322145062,0.9943540432645829,0.002187559558078677,0.00785783179012251,0.8657486634700177,0.8787817284464836,0.7626077830791473,0.9512151777744293,0.9197568675493422,True,threshold_0.450
crop_0123,0.2851909722222222,0.9889405484191893,0.0024062688121848828,0.007182798032406542,0.8148313492063493,0.86580690741539,0.8022546023130417,0.9528907611966133,0.8979681324105491,True,threshold_0.450
crop_0129,0.271474609375,0.9698430399170724,0.002356866021025556,0.007465760030863297,0.7756417410714287,0.8687377125024796,0.7856353670358658,0.933989405632019,0.8762734746954206,True,threshold_0.450
crop_0131,0.2565216290509259,0.9999290311144513,0.0015805851690062522,0.006276403356480725,0.7329189401455026,0.9147902056574821,0.8554899245500565,0.9079735055565834,0.8756544053502453,True,threshold_0.450
crop_0133,0.2829856288580247,0.9998018912775075,0.0012700260225386932,0.0060760271990733415,0.8085303681657849,0.9332139790058136,0.8672586381435394,0.9459640830755234,0.9114636045037682,True,threshold_0.450
crop_0134,0.2661037567515432,0.9997145667458482,0.0015861933669835341,0.006770471643517702,0.760296447861552,0.9144574999809265,0.8264717906713486,0.9652798697352409,0.8937016072317692,True,threshold_0.450
crop_0135,0.27194420331790126,0.9992866687292244,0.0017210391494281731,0.0068153211805547335,0.7769834380511464,0.9064578339457512,0.8238376379013062,0.9871382741257548,0.901092511844682,True,threshold_0.450
crop_0136,0.28085636091820987,0.9991603474508866,0.001271069118943793,0.006401065779320216,0.8024467454805997,0.9331520944833755,0.8481681197881699,0.980941092595458,0.9143760479394696,True,threshold_0.450
crop_0137,0.2960645736882716,0.9998460710235627,0.0010693584419451292,0.006229142554011594,0.8458987819664904,0.9451184868812561,0.8582656979560852,0.9676695875823498,0.930192530508944,True,threshold_0.450
crop_0144,0.28167112750771606,0.9908431861924036,0.002440618535430941,0.008150679976850869,0.804774650022046,0.8637691289186478,0.7454079389572144,0.9502507448196411,0.894215520872113,True,threshold_0.450
crop_0145,0.30444360050154323,0.98830220614199,0.001045471267954268,0.006807002314813994,0.8698388585758379,0.9465355798602104,0.8243262320756912,0.9463519491255283,0.9321941706850116,True,threshold_0.450
crop_0146,0.27724428530092593,0.9718513203522513,0.0039359446854292926,0.011050708912035705,0.792126529431217,0.7750596106052399,0.5750803649425507,0.9065163880586624,0.8597890617364486,True,threshold_0.450
crop_0151,0.23407214506172838,0.9743974724536157,0.00755863543838151,0.013580729166665029,0.6687775573192241,0.5601451992988586,0.42648452520370483,0.9008915722370148,0.7735541624931371,True,threshold_0.450
crop_0157,0.31489631558641973,0.9760873027659139,0.0007841107311370127,0.005908203124999288,0.8997037588183421,0.9620406739413738,0.8771154433488846,0.8206512033939362,0.9232283217135592,True,threshold_0.450
crop_0158,0.38204017168209875,0.9757469245394382,0.000752967848335754,0.007014853395060882,0.9084566523368607,0.9638882093131542,0.8121185004711151,0.8643856793642044,0.9331193994469941,True,threshold_0.450
crop_0159,0.38645893614969135,0.9920254442047853,0.0009720959180391578,0.007646002121912659,0.8958316110008818,0.9508885405957699,0.7750491946935654,0.9579863920807838,0.9450243640430157,True,threshold_0.450
crop_0160,0.2919024884259259,0.9772162553751278,0.002774294593160138,0.015472366898146283,0.8340071097883598,0.8439739495515823,0.3153828978538513,0.7767034769058228,0.8703676764846542,True,threshold_0.450
crop_0161,0.251025993441358,0.9644135036088562,0.008637872158527342,0.02084213445215798,0.7172171241181657,0.4961199164390564,0.0,0.8803997114300728,0.7716339845263369,True,threshold_0.450
crop_0163,0.24776548032407408,0.9716957995504905,0.010405991827021416,0.01933943383487421,0.7079013723544973,0.3912270665168762,0.08825820684432983,0.9752717353403568,0.76381039379365,True,threshold_0.450
crop_0164,0.2572969714506173,0.9679737447304056,0.01098670930086022,0.018474512924380487,0.7351342041446209,0.35677629709243774,0.13905757665634155,0.9722119010984898,0.764876139453,True,threshold_0.450
crop_0165,0.2679858699845679,0.9710740864371896,0.006968744573238866,0.015086684992282131,0.7656739142416227,0.5951401889324188,0.33803510665893555,0.9642316773533821,0.8229708853052159,True,threshold_0.450
crop_0166,0.27463047357253084,0.9710061262696609,0.007261967737754699,0.015029055748454978,0.7846584959215167,0.577744871377945,0.34141987562179565,0.9859278732910752,0.8293704667226793,True,threshold_0.450
crop_0169,0.25823796778549385,0.9714346273844879,0.00656324275921071,0.015374228395059874,0.7378227651014111,0.6191963851451874,0.3211468458175659,0.9648091085255146,0.8182289993087049,True,threshold_0.450
crop_0170,0.309634693287037,0.9639246268054377,0.0025706380337607204,0.010103322723764213,0.8846705522486773,0.8560557812452316,0.6307232677936554,0.873657688498497,0.9010718908524893,True,threshold_0.450
crop_0171,0.3406657503858025,0.9582962028126385,0.0014662279189892385,0.009807339891974126,0.9733307153880072,0.9215743914246559,0.6481072306632996,0.9241458177566528,0.9510913621780231,True,threshold_0.450
crop_0172,0.31518627025462964,0.9529928114074375,0.001191914717659964,0.00970558449073957,0.9005322007275133,0.9378478974103928,0.654083639383316,0.9376171939074993,0.9292962722450643,True,threshold_0.450
crop_0173,0.3008369502314815,0.9732761529647095,0.0015906145326616643,0.010010247878085212,0.8595341435185186,0.914195217192173,0.6361898183822632,0.9296344965696335,0.9151040140447739,True,threshold_0.450
crop_0174,0.321421802662037,0.9788886050676731,0.0018863458790893605,0.010913628472220906,0.9183480076058201,0.8966510891914368,0.5831315219402313,0.9467849433422089,0.9364363435219576,True,threshold_0.450
crop_0175,0.33190610532407405,0.9809772165395015,0.001398130450038396,0.010355058834875294,0.9483031580687831,0.92561424523592,0.6159380078315735,0.9737648498266935,0.9573868468071125,True,threshold_0.450
crop_0176,0.3046733940972222,0.9654870853070654,0.0024728115380450613,0.01190369405864054,0.8704954117063493,0.8618592917919159,0.5249819457530975,0.9120263978838921,0.9034953377303088,True,threshold_0.450
crop_0178,0.2981823881172839,0.9729715305077167,0.002724761487341029,0.011919970100307204,0.851949680335097,0.8469124883413315,0.5240260064601898,0.9714222252368927,0.9051696787233992,True,threshold_0.450
