image_name,fft_score,is_fft_blurry,fft_kept,exposure_mean,exposure_score,contrast_score,entropy_score,contrast_norm,entropy_norm,raw_score,accepted,accept_rule
crop_0034,0.12503,True,False,0.139135683652678,0.27827136730535607,1.0259370422479124,2.8264119625091553,0.40692639350891113,0.5338795781135559,0.2938274677855647,False,threshold_0.450
crop_0035,0.279551,False,True,0.09753541167535623,0.19507082335071246,0.9198239104838517,1.7783986330032349,0.2810366749763489,0.20944452285766602,0.2489308042369455,False,threshold_0.450
crop_0036,0.251779,True,False,0.08895140492469919,0.17790280984939844,0.8785841164428072,1.6840262413024902,0.2321109175682068,0.18022951483726501,0.21876024845097405,False,threshold_0.450
crop_0037,0.347564,False,True,0.09544584240992293,0.19089168481984586,0.9189543045703576,1.7753677368164062,0.2800050377845764,0.208506241440773,0.27490619280903905,False,threshold_0.450
crop_0038,0.281386,False,True,0.09333987671670868,0.18667975343341736,0.9050922022369186,1.72926926612854,0.26355937123298645,0.19423545897006989,0.24144931672729475,False,threshold_0.450
crop_0039,0.364038,False,True,0.09479940412958221,0.18959880825916442,0.9110841538299457,1.756445288658142,0.2706681191921234,0.20264838635921478,0.2781982627621005,False,threshold_0.450
crop_0040,0.490715,False,True,0.09715811323862343,0.1943162264772469,0.9173006106546195,1.8107662200927734,0.27804309129714966,0.21946460008621216,0.33465078357212175,False,threshold_0.450
crop_0041,0.302872,False,True,0.09994336020674405,0.1998867204134881,0.9220572337525947,1.8833755254745483,0.28368622064590454,0.2419423758983612,0.26625186339155077,False,threshold_0.450
crop_0042,0.430159,False,True,0.10235092807113293,0.20470185614226588,0.9279452418536613,1.9287359714508057,0.29067161679267883,0.25598466396331787,0.32233522737965253,False,threshold_0.450
crop_0043,0.572052,False,True,0.1010319729003066,0.20206394580061326,0.9200757622210732,1.9304840564727783,0.2813355028629303,0.25652581453323364,0.37680585263935545,False,threshold_0.450
crop_0044,0.614924,False,True,0.09703763651454238,0.19407527302908478,0.9005840354609077,1.8877787590026855,0.25821104645729065,0.2433054894208908,0.38508796178145327,False,threshold_0.450
crop_0045,0.461872,False,True,0.09842388553012328,0.19684777106024653,0.9150802035277247,1.885649561882019,0.27540886402130127,0.24264635145664215,0.327729397307638,False,threshold_0.450
crop_0046,0.421131,False,True,0.0999099992714024,0.19981999854280486,0.9246419308300371,1.9066803455352783,0.2867526412010193,0.2491568773984909,0.315598303428463,False,threshold_0.450
crop_0047,0.383042,False,True,0.09748322281394765,0.19496644562789534,0.9102035962136596,1.8708728551864624,0.26962339878082275,0.23807190358638763,0.29374914959902115,False,threshold_0.450
crop_0048,0.334781,False,True,0.09253837164117507,0.18507674328235013,0.8870121661903289,1.8048980236053467,0.2421097755432129,0.2176479697227478,0.2628792977096622,False,threshold_0.450
crop_0049,0.49127,False,True,0.09659819540720153,0.1931963908144031,0.9080867331266169,1.8369613885879517,0.26711201667785645,0.22757387161254883,0.3340844558209617,False,threshold_0.450
crop_0050,0.411138,False,True,0.10034591458453197,0.20069182916906392,0.9248074020796699,1.8753353357315063,0.2869490087032318,0.23945336043834686,0.30987403966212856,False,threshold_0.450
crop_0051,0.514823,False,True,0.10076056219793914,0.20152112439587833,0.9264359890815983,1.8887418508529663,0.2888810932636261,0.2436036318540573,0.35273036990271245,False,threshold_0.450
crop_0052,0.432376,False,True,0.10342737743182838,0.2068547548636568,0.937382019959758,1.901890754699707,0.30186715722084045,0.2476741522550583,0.32422961286791113,False,threshold_0.450
crop_0053,0.418867,False,True,0.10685771963649174,0.21371543927298342,0.951315332336885,1.9328641891479492,0.31839725375175476,0.257262647151947,0.32542186803533707,False,threshold_0.450
crop_0054,0.51774,False,True,0.11132918559642237,0.2226583711928447,0.9676190866715096,1.9871715307235718,0.3377395272254944,0.27407464385032654,0.37399050845373316,False,threshold_0.450
crop_0055,0.460237,False,True,0.11877477750604142,0.23754955501208286,0.9941799576333049,2.068223476409912,0.369250625371933,0.2991660237312317,0.36528804082304955,False,threshold_0.450
crop_0056,0.447034,False,True,0.12220712429727966,0.2444142485945593,1.0096593619631173,2.1418023109436035,0.38761502504348755,0.3219439387321472,0.3696082424740388,False,threshold_0.450
crop_0057,0.465573,False,True,0.11870523276077147,0.237410465521543,0.9959477155658467,2.065927028656006,0.3713478446006775,0.2984551191329956,0.3676718858510432,False,threshold_0.450
crop_0058,0.276381,False,True,0.11968883198842149,0.239377663976843,1.006153370429485,2.085343599319458,0.3834555149078369,0.3044659197330475,0.2960122197235455,False,threshold_0.450
crop_0059,0.477194,False,True,0.12223379483973998,0.2444675896794799,1.0239613070576894,2.076244354248047,0.4045823812484741,0.3016490638256073,0.3810174069507123,False,threshold_0.450
crop_0060,0.31366,False,True,0.12689631522985503,0.25379263045971,1.0536985969954824,2.0541651248931885,0.43986180424690247,0.29481396079063416,0.3231576790994493,False,threshold_0.450
crop_0061,0.632187,False,True,0.13652442048773641,0.2730488409754728,1.0964407310708708,2.161940097808838,0.4905698895454407,0.3281780183315277,0.4712341497704883,True,threshold_0.450
crop_0062,0.661041,False,True,0.14088180901817401,0.2817636180363481,1.113504630028401,2.1984167098999023,0.5108141303062439,0.33947014808654785,0.49082597928582794,True,threshold_0.450
crop_0063,0.425547,False,True,0.14080584063899387,0.28161168127798775,1.1178289204092817,2.1896088123321533,0.5159443616867065,0.33674347400665283,0.3970787033942694,False,threshold_0.450
crop_0064,0.6181,False,True,0.13908807399134474,0.2781761479826894,1.1177805415376816,2.159724712371826,0.5158869624137878,0.32749220728874207,0.4715510635370439,True,threshold_0.450
crop_0065,0.5367,False,True,0.14216704497883617,0.2843340899576723,1.1305273635506305,2.1703341007232666,0.5310093760490417,0.330776572227478,0.4439040076468384,False,threshold_0.450
crop_0066,0.680215,False,True,0.13274552409905047,0.265491048198101,1.0994104276138135,2.066791534423828,0.494093120098114,0.2987227439880371,0.48374738245685045,True,threshold_0.450
