image_name,registered,matched_points,matched_norm,inlier_ratio,reprojection_error,reprojection_score,geo_score,accepted,accept_rule
crop_0178,1.0,2557.0,0.6189735531806946,0.6120153183341311,1.069344217100905,0.0,0.6577472178787064,True,threshold_0.550
crop_0179,1.0,4290.0,0.3911353051662445,0.5794165316045381,1.069344217100905,0.0,0.5926379591926956,True,threshold_0.550
crop_0180,1.0,4378.0,0.022706065326929092,0.5713167166905911,1.069344217100905,0.0,0.49850569550438006,False,threshold_0.550
crop_0181,1.0,3850.0,0.5113530158996582,0.5703703703703704,1.069344217100905,0.0,0.6204308465675071,True,threshold_0.550
crop_0182,1.0,4075.0,0.25349920988082886,0.5593685655456417,1.069344217100905,0.0,0.5532169438566177,True,threshold_0.550
crop_0183,1.0,2623.0,0.11788491159677505,0.5418302003718241,1.069344217100905,0.0,0.5149287779921498,False,threshold_0.550
crop_0184,1.0,1356.0,0.16842924058437347,0.38831615120274915,1.069344217100905,0.0,0.4891863479467806,False,threshold_0.550
crop_0185,1.0,1557.0,0.2245723158121109,0.3779126213592233,1.069344217100905,0.0,0.5006212342928336,False,threshold_0.550
crop_0186,1.0,2422.0,0.05520995333790779,0.3957516339869281,1.069344217100905,0.0,0.46274039683120893,False,threshold_0.550
crop_0188,1.0,1076.0,0.5287714004516602,0.37400069516857837,1.069344217100905,0.0,0.5756930239050596,True,threshold_0.550
crop_0189,1.0,1270.0,0.1357698291540146,0.4,1.069344217100905,0.0,0.4839424572885036,False,threshold_0.550
crop_0190,1.0,1182.0,0.07356142997741699,0.372518121651434,1.069344217100905,0.0,0.4615198879072127,False,threshold_0.550
crop_0193,1.0,369.0,0.19595645368099213,0.30982367758186397,1.069344217100905,0.0,0.476445032815714,False,threshold_0.550
crop_0194,1.0,543.0,0.021150855347514153,0.3978021978021978,1.069344217100905,0.0,0.45473826328742795,False,threshold_0.550
crop_0195,1.0,853.0,0.10948678106069565,0.4456635318704284,1.069344217100905,0.0,0.48878757823278096,False,threshold_0.550
crop_0196,1.0,1277.0,0.6401244401931763,0.4913428241631397,1.069344217100905,0.0,0.6328668160890789,True,threshold_0.550
crop_0197,1.0,2964.0,0.12083981186151505,0.5206393816968207,1.069344217100905,0.0,0.5103697983895839,False,threshold_0.550
crop_0198,1.0,3495.0,0.04261275380849838,0.36008654440552235,1.069344217100905,0.0,0.45067482455350516,False,threshold_0.550
crop_0199,1.0,3383.0,0.1427682787179947,0.4869027058146229,1.069344217100905,0.0,0.5074177461331544,False,threshold_0.550
crop_0200,1.0,2721.0,0.03716951608657837,0.5426804946150778,1.069344217100905,0.0,0.49496250267541403,False,threshold_0.550
crop_0201,1.0,1725.0,0.0395023338496685,0.27930699481865284,1.069344217100905,0.0,0.4297023321670803,False,threshold_0.550
crop_0202,1.0,1012.0,0.43281492590904236,0.18827906976744185,1.069344217100905,0.0,0.505273498919121,False,threshold_0.550
crop_0203,1.0,660.0,0.3062208294868469,0.19428907859876363,1.069344217100905,0.0,0.4751274770214026,False,threshold_0.550
