图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0186.jpg,0186.jpg,colmap_tracks,1,ok,9103,8882,47033,0,23893,0.00288061824845679,0.9939775571814473,"0,0,2081,3305",
0187.jpg,0187.jpg,colmap_tracks,1,ok,9665,9426,50800,0,31334,0.0037777295524691356,0.992045677823297,"0,0,2072,3354",
0188.jpg,0188.jpg,colmap_tracks,1,ok,9626,9414,46517,0,23852,0.0028756751543209877,0.9939712550289039,"0,0,2070,3747",
0189.jpg,0189.jpg,colmap_tracks,1,ok,10680,10468,45808,0,23234,0.0028011670524691356,0.9942693084643256,"0,0,2103,3766",
0190.jpg,0190.jpg,colmap_tracks,1,ok,7268,7103,36287,0,19575,0.0023600260416666665,0.9952666742432119,"0,0,2012,3720",
0191.jpg,0191.jpg,colmap_tracks,1,ok,2660,2567,23205,0,7389,0.0008908420138888889,0.9981638449667882,"0,0,2018,3840",
0192.jpg,0192.jpg,colmap_tracks,1,ok,1646,1594,14510,0,3483,0.000419921875,0.9991912605051383,"0,0,2001,3840",
0193.jpg,0193.jpg,colmap_tracks,1,ok,1477,1428,12859,0,2438,0.0002939332561728395,0.9994627486247533,"0,8,2093,3840",
0194.jpg,0194.jpg,colmap_tracks,1,ok,2536,2429,27646,0,3322,0.00040051118827160495,0.9992447150515876,"0,0,2042,3840",
0195.jpg,0195.jpg,colmap_tracks,1,ok,4623,4439,46367,0,7365,0.0008879484953703703,0.998224983412693,"0,0,2079,3840",
0196.jpg,0196.jpg,colmap_tracks,1,ok,5412,5214,50489,0,10408,0.0012548225308641975,0.9972946164739349,"0,0,2146,3840",
0197.jpg,0197.jpg,colmap_tracks,1,ok,8401,8114,67715,0,18360,0.0022135416666666666,0.9948431732011284,"0,0,2145,3840",
0198.jpg,0198.jpg,colmap_tracks,1,ok,8446,8161,69494,0,19293,0.002326027199074074,0.9943210851899035,"30,0,2160,3840",
0199.jpg,0199.jpg,colmap_tracks,1,ok,5686,5415,69101,0,9699,0.0011693431712962964,0.9969832684772861,"114,0,2148,3840",
0200.jpg,0200.jpg,colmap_tracks,1,ok,5951,5679,67746,0,10752,0.0012962962962962963,0.9963682387072389,"160,0,2160,3840",
0201.jpg,0201.jpg,colmap_tracks,1,ok,8390,8057,79445,0,19564,0.002358699845679012,0.9931990666967014,"279,0,2160,3840",
0202.jpg,0202.jpg,colmap_tracks,1,ok,7810,7484,77449,0,18866,0.0022745466820987656,0.9932712818981932,"302,0,2160,3840",
0203.jpg,0203.jpg,colmap_tracks,1,ok,4641,4404,58772,0,12141,0.0014637586805555556,0.9953995227113753,"0,0,2113,3794",
0204.jpg,0204.jpg,colmap_tracks,1,ok,1874,1671,51771,0,9966,0.0012015335648148148,0.9960028604855525,"307,0,2131,3647",
0205.jpg,0205.jpg,colmap_tracks,1,ok,1244,1059,49642,0,5126,0.0006180073302469135,0.9976154124554925,"186,0,2137,3835",
0206.jpg,0206.jpg,colmap_tracks,1,ok,3264,2914,91683,0,10438,0.0012584394290123457,0.9941895450777853,"171,0,2147,3770",
0207.jpg,0207.jpg,colmap_tracks,1,ok,3457,3034,108934,0,15745,0.001898268711419753,0.9900467917734475,"204,0,2082,3665",
0208.jpg,0208.jpg,colmap_tracks,1,ok,3168,2724,112809,0,12798,0.00154296875,0.9913350449293966,"151,27,2017,3667",
0209.jpg,0209.jpg,colmap_tracks,1,ok,3095,2648,115257,0,12983,0.0015652729552469136,0.9908805793497768,"74,111,1977,3653",
