图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0021.jpg,P3,1.1324042115189217,0.14298936631944445,20,1,ok,0.00013020833333333333,0,sam3_if_supported,1,ok,1,9,0.9567057505261936,0.9713603818615751,ok
0022.jpg,P3,1.132863148800092,0.15868586033950619,24,1,ok,0.0002431761188271605,0,sam3_if_supported,1,ok,1,9,0.981145887892455,0.9707692307692307,ok
0023.jpg,P3,1.173337338201713,0.16534698109567902,6,1,ok,0.0002431761188271605,0,sam3_if_supported,1,ok,1,9,0.9778508739905665,0.9680451127819549,ok
0024.jpg,P3,1.1855143310153482,0.17086082175925926,10,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9820763255200526,,
0025.jpg,P2,1.282042073883132,0.20744996624228396,18,1,ok,0.00011610243055555556,0,sam3_if_supported,1,ok,1,9,0.8914078040673812,0.9962453066332916,ok
0026.jpg,P2,1.30125045072878,0.19904658564814814,8,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9866212308612976,,
0027.jpg,P2,1.2686382030335883,0.1836887538580247,13,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9916188963666134,,
0028.jpg,P3,0.8134899377346578,0.13487666377314814,11,1,ok,0.00030876253858024694,0,sam3_if_supported,1,ok,1,9,0.9813980070444993,0.9941690962099126,ok
0029.jpg,P1,0.7933283837179484,0.1210693962191358,15,1,ok,7.824556327160494e-05,0,sam3_if_supported,1,ok,1,9,0.914365629977428,0.927536231884058,ok
0030.jpg,P1,0.8125369098311184,0.12386622299382716,15,1,ok,8.475597993827161e-05,0,sam3_if_supported,1,ok,1,9,0.9407607253916555,0.9742765273311897,ok
0031.jpg,P3,1.0978642594844392,0.14183473186728396,4,1,ok,9.729456018518518e-05,0,sam3_if_supported,1,ok,1,9,0.9848136968298752,0.9866962305986696,ok
0032.jpg,P1,1.0754109155085438,0.15236617476851852,11,1,ok,7.643711419753087e-05,0,sam3_if_supported,1,ok,1,9,0.9827922219103677,0.9952830188679245,ok
0033.jpg,P3,0.9841095102223709,0.14107711226851852,10,1,ok,9.645061728395062e-07,0,sam3_if_supported,1,ok,1,9,0.9862698020203676,0.977859778597786,ok
0034.jpg,P1,0.9770775720815207,0.14242513020833333,34,1,ok,1.8446180555555556e-05,0,sam3_if_supported,1,ok,1,9,0.8734128133101023,0.9808695652173913,ok
0035.jpg,P2,1.075962730548624,0.221899112654321,13,1,ok,6.655092592592593e-05,0,sam3_if_supported,1,ok,1,9,0.9744505147375342,0.9864406779661017,ok
0036.jpg,P1,0.6817325080628022,0.10313295717592592,11,1,ok,0.00016372492283950617,0,sam3_if_supported,1,ok,1,9,0.9745193933712739,0.9810126582278481,ok
0037.jpg,P1,0.9509294280400233,0.10227177372685185,14,1,ok,0.0003738667052469136,0,sam3_if_supported,1,ok,1,9,0.9789429012528105,0.960514233241506,ok
0038.jpg,P1,0.9388972780405144,0.09924937307098765,10,1,ok,0.0004454812885802469,0,sam3_if_supported,1,ok,1,9,0.9779482344561276,0.9445277361319341,ok
0039.jpg,P1,0.9266590261672041,0.10573085455246914,9,1,ok,0.0005213155864197531,0,sam3_if_supported,1,ok,1,9,0.9841071453119916,0.9529702970297029,ok
0040.jpg,P3,0.736964538779074,0.10987268518518518,6,1,ok,0.000568335262345679,0,sam3_if_supported,1,ok,1,9,0.9824591966005528,0.957388939256573,ok
0041.jpg,P2,0.7254201174527202,0.1688988956404321,7,1,ok,0.0005744839891975308,0,sam3_if_supported,1,ok,1,9,0.9936012399298672,0.9923809523809524,ok
0042.jpg,P2,0.7441216822223271,0.17382667824074075,2,1,ok,0.0003783275462962963,0,sam3_if_supported,1,ok,1,9,0.9934634618845547,0.9916083916083916,ok
0043.jpg,P2,0.7297163608572288,0.17431942033179013,4,1,ok,0.0003760368441358025,0,sam3_if_supported,1,ok,1,9,0.9912764869199283,0.9900332225913622,ok
0044.jpg,P2,0.6971651481607558,0.1700806568287037,6,1,ok,0.0003455343364197531,0,sam3_if_supported,1,ok,1,9,0.9896494802010438,0.9831932773109243,ok
0045.jpg,P2,1.039570757398712,0.17062909915123456,1,1,ok,0.0003017698688271605,0,sam3_if_supported,1,ok,1,9,0.986837848952726,0.9836363636363636,ok
0046.jpg,P2,1.0722115577624034,0.17090940875771604,4,1,ok,0.00036687403549382717,0,sam3_if_supported,1,ok,1,9,0.9902566578562102,0.9898876404494382,ok
0047.jpg,P2,1.0243097116627575,0.1681715374228395,4,1,ok,0.0003603636188271605,0,sam3_if_supported,1,ok,1,9,0.989405832898675,0.9895287958115183,ok
0048.jpg,P2,1.0468253171050772,0.161128231095679,10,1,ok,0.0003900221836419753,0,sam3_if_supported,1,ok,1,9,0.9879463857156571,0.9893503727369543,ok
0049.jpg,P2,1.0282058014915345,0.16527150848765432,4,1,ok,0.0006052276234567902,0,sam3_if_supported,1,ok,1,9,0.9889083970807024,0.9833333333333333,ok
0050.jpg,P2,1.0541914839345143,0.16996479552469135,7,1,ok,0.0006538146219135803,0,sam3_if_supported,1,ok,1,9,0.9879487444235172,0.9824780976220275,ok
0051.jpg,P2,1.0597122470841982,0.17068274980709877,3,1,ok,0.0007443576388888889,0,sam3_if_supported,1,ok,1,9,0.9904788457418356,0.9895068205666316,ok
0052.jpg,P2,1.0569661484041235,0.17299599729938273,6,1,ok,0.0008498505015432098,0,sam3_if_supported,1,ok,1,9,0.9928738082167226,0.9892857142857143,ok
0053.jpg,P2,0.7330864570026066,0.1776171875,4,1,ok,0.0007414641203703704,0,sam3_if_supported,1,ok,1,9,0.9911340074095681,0.9910044977511244,ok
0054.jpg,P2,0.7288843806400848,0.18418330439814815,8,1,ok,0.0003940007716049383,0,sam3_if_supported,1,ok,1,9,0.9916082906991998,0.9956427015250545,ok
0055.jpg,P2,0.734427985661187,0.19360098379629628,13,1,ok,0.00017469618055555554,0,sam3_if_supported,1,ok,1,9,0.9919317494342328,0.9620253164556962,ok
0056.jpg,P2,1.0431804818408748,0.19830897955246912,8,1,ok,0.00023051697530864198,0,sam3_if_supported,1,ok,1,9,0.9927066830064862,0.9975609756097561,ok
0057.jpg,P2,0.7168723282468006,0.1904201630015432,8,1,ok,3.436053240740741e-05,0,sam3_if_supported,1,ok,1,9,0.9809906797203916,0.9847715736040609,ok
0058.jpg,P2,1.0024759532512273,0.19098464023919753,8,1,ok,0.00017385223765432097,0,sam3_if_supported,1,ok,1,9,0.9928932555366388,0.9806678383128296,ok
0059.jpg,P2,1.000827200776268,0.1902541473765432,6,1,ok,0.00022882908950617285,0,sam3_if_supported,1,ok,1,9,0.9930764500402569,0.9803571428571428,ok
0060.jpg,P2,1.016588156992813,0.19425624517746914,15,1,ok,6.534529320987655e-05,0,sam3_if_supported,1,ok,1,9,0.9859902693766447,0.9629629629629629,ok
0061.jpg,P2,1.1066900515611802,0.2030811149691358,11,1,ok,0.00019410686728395062,0,sam3_if_supported,1,ok,1,9,0.9929290138585625,0.9656992084432717,ok
