图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0045.jpg,0.1331237727937286,0.2391663842005044,0.003224601390640252,0.19099647163170852,0.005735133786432767,0,0.9836363636363636,ok,0
0046.jpg,0.06159407360823743,0.04810260897725194,0.0016428007173209904,0.16477717360036004,0.021021112578526627,0,0.9898876404494382,ok,0
0047.jpg,0.15842008673812627,0.2650268622686449,0.016019430145930685,0.19023142776490243,0.09398646977594843,0,0.9895287958115183,ok,0
0048.jpg,0.10424675575169787,0.125128962663121,0.041881678880364065,0.1859663338343499,0.02326410427284679,0,0.9893503727369543,ok,0
0049.jpg,0.15167507170619204,0.2531640669107802,0.025714161719525168,0.19248314902402042,0.05678880401021717,0,0.9833333333333333,ok,0
0050.jpg,0.10288669819329453,0.13543426204521358,0.028397435710388136,0.17849197847217912,0.025082352878853038,0,0.9824780976220275,ok,0
0051.jpg,0.08900844663587922,0.10951556063169887,0.00422413524042468,0.1846963518123934,0.022985857677200613,0,0.9895068205666316,ok,0
0052.jpg,0.0898455503392069,0.10333927271614318,0.013552907337726435,0.19218575270110738,0.014947599192322254,0,0.9892857142857143,ok,0
0053.jpg,0.09988349741959798,0.12658891617428414,0.026712700136176847,0.1910737225473822,0.007538473918058509,0,0.9910044977511244,ok,0
0054.jpg,0.1125415225429749,0.15302776934927065,0.03696780131792229,0.1938617921546809,0.008496032683862547,0,0.9956427015250545,ok,0
0055.jpg,0.11868972912505925,0.1548329807085902,0.05113210140800811,0.17902265752225954,0.04639664096323845,0,0.9620253164556962,ok,0
0056.jpg,0.1022893849058298,0.14304883935482582,0.024318036323237455,0.1812368615912311,0.005557111020157571,0,0.9975609756097561,ok,0
0057.jpg,0.12987557783191656,0.17323910226665606,0.039780430360384485,0.19202150140561103,0.07527606064725378,0,0.9847715736040609,ok,0
0058.jpg,0.13665361208697896,0.1945715999449844,0.002964377452243573,0.21891664259855115,0.08722198062357164,0,0.9806678383128296,ok,0
0059.jpg,0.13992791146576603,0.18091150390550848,0.0038248775489978398,0.26713857556432097,0.059120145470055695,0,0.9803571428571428,ok,0
0060.jpg,0.16840112823019923,0.23694534904997533,0.021035535130832964,0.25514126634021084,0.10950703796631293,0,0.9629629629629629,ok,0
0061.jpg,0.14640260748796716,0.19105813774782088,0.045429014565809264,0.25174172494861113,0.034930495984165144,0,0.9656992084432717,ok,0
0062.jpg,0.14603348000950395,0.20224509073983,0.02693067590576312,0.2677631971285236,0.010494866613278508,0,0.9777777777777777,ok,0
0063.jpg,0.07872846879487634,0.039941347104013314,0.00937334337688954,0.23657743590654412,0.021742016584088458,0,0.9707317073170731,ok,0
0064.jpg,0.12210225796989385,0.1432356700422771,0.01624839153003783,0.2646787482965097,0.011586589989733173,0,0.9632352941176471,ok,0
0065.jpg,0.1676374158143003,0.2519891127666605,0.014591200788732772,0.2971897514823353,0.00997325518801415,0,0.9314516129032258,ok,0
0066.jpg,0.15834159659568134,0.18361993507901098,0.06480762000983435,0.28354563934365584,0.04657536319769964,0,0.9612676056338029,ok,0
0067.jpg,0.135816836283668,0.14004601783716164,0.061846356602329615,0.2834160150151286,0.00323424757531257,0,0.9628099173553719,ok,0
0068.jpg,0.10431119037449513,0.08208583585909246,0.005802450130716717,0.2767261349086212,0.032993343759855284,0,0.9755011135857461,ok,0
0069.jpg,0.1701860600885665,0.2380927220915191,0.034061370123053894,0.2789599514638449,0.057321846398733986,0,0.953757225433526,ok,0
0070.jpg,0.14581766821147346,0.1815565834133317,0.0009865941176432549,0.26229317168173416,0.10968615044642009,0,0.9578947368421052,ok,0
0071.jpg,0.15337955344267024,0.19769297601680036,0.013641681357991008,0.2789702812994608,0.07356014114951451,0,0.9770773638968482,ok,0
0072.jpg,0.10768504816537135,0.10300910846594669,0.0038996711652859923,0.2773785855780466,0.00874864010971237,0,0.979539641943734,ok,0
0073.jpg,0.1439359788872348,0.14556293371180085,0.07039454177360473,0.28399881842332386,0.02927074692581576,0,0.9736842105263158,ok,0
