图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0109.jpg,P2,1.02134796516552,0.1628053867669753,5,1,ok,0.020672260802469134,0,sam3_if_supported,1,ok,1,9,0.9912530038111185,0.7083798882681565,ok
0110.jpg,P2,1.0201842859271633,0.14756498360339507,2,1,ok,0.008479938271604938,1,sam3_if_supported,1,ok,1,9,0.9895070070308687,0.5805142083897158,low
0111.jpg,P2,0.7233890383685517,0.15827196662808643,6,1,ok,0.01740801022376543,1,sam3_if_supported,1,ok,1,9,0.9868005498201787,0.6194125159642401,low
0112.jpg,P2,0.6985366909894497,0.1572633342978395,4,1,ok,0.007781876929012345,1,sam3_if_supported,1,ok,1,9,0.9869460962899813,0.5337403598971723,low
0113.jpg,P2,0.6787264218453589,0.17556315104166667,1,1,ok,0.0061150896990740744,1,sam3_if_supported,1,ok,1,9,0.9880132624673597,0.3864101514531314,low
0114.jpg,P2,0.6999668415830038,0.19631196952160493,6,1,ok,0.01234640239197531,1,sam3_if_supported,1,ok,1,9,0.9926161174028814,0.6364833717484359,low
0115.jpg,P2,0.7417849861845016,0.19260211709104938,2,1,ok,0.00038290895061728395,1,sam3_if_supported,1,ok,1,9,0.9916070319800807,0.44905320108205593,low
0116.jpg,P2,0.7112518920108188,0.19125626929012346,3,1,ok,0.0006352478780864198,1,sam3_if_supported,1,ok,1,9,0.9896401698303784,0.41878453038674035,low
0117.jpg,P2,0.7284311929190059,0.19063597125771606,1,1,ok,0.0037220293209876544,1,sam3_if_supported,1,ok,1,9,0.9934485296441617,0.437827536922344,low
0118.jpg,P2,1.253664979731289,0.1864842544367284,1,1,ok,0.003341893325617284,1,sam3_if_supported,1,ok,1,9,0.9906356316027849,0.49348140994688555,low
0119.jpg,P2,0.7430656587013563,0.18526560088734567,5,1,ok,0.0034714988425925924,1,sam3_if_supported,1,ok,1,9,0.9908135499475088,0.5511732401397903,low
0120.jpg,P2,0.729365365846653,0.1748245804398148,3,1,ok,0.0027156876929012347,1,sam3_if_supported,1,ok,1,9,0.9915540019894363,0.5979899497487438,low
0121.jpg,P2,0.7401504218616016,0.15894929108796296,2,1,ok,0.0025434027777777777,1,sam3_if_supported,1,ok,1,9,0.99108759547766,0.655829596412556,low
0122.jpg,P2,1.0676489530909867,0.1534542582947531,1,1,ok,0.003328149112654321,1,sam3_if_supported,1,ok,1,9,0.9917973411628277,0.6135629709364908,low
0123.jpg,P2,1.0725664157257269,0.15791630497685186,3,1,ok,0.001730565200617284,1,sam3_if_supported,1,ok,1,9,0.9934363438049754,0.44238856181665265,low
0124.jpg,P2,1.0834805655855508,0.17211902006172838,5,1,ok,0.0009733072916666667,1,sam3_if_supported,1,ok,1,9,0.9914550566269804,0.470517448856799,low
0125.jpg,P2,1.0116881254443089,0.2030275848765432,1,1,ok,0.0017103105709876543,1,sam3_if_supported,1,ok,1,9,0.9952709233347027,0.36635706914344685,low
0126.jpg,P2,1.0268767285622162,0.2147016059027778,5,1,ok,0.0013960021219135803,1,sam3_if_supported,1,ok,1,9,0.9922430145305,0.48089591567852435,low
0127.jpg,P2,1.1070233218306482,0.20742730034722223,6,1,ok,0.002306616512345679,1,sam3_if_supported,1,ok,1,9,0.9899033417481948,0.48045486851457003,low
0128.jpg,P2,1.1232448727655973,0.1950102478780864,6,1,ok,0.0019829041280864197,1,sam3_if_supported,1,ok,1,9,0.9903662980326612,0.536734693877551,low
0129.jpg,P2,1.0921431894698317,0.17765058352623456,6,1,ok,0.0006479070216049383,1,sam3_if_supported,1,ok,1,9,0.9904177618785219,0.5881104033970276,low
0130.jpg,P2,0.9027011998794106,0.1228466194058642,4,1,ok,0.0005338541666666666,1,sam3_if_supported,1,ok,1,9,0.989044025963145,0.6015037593984962,low
0131.jpg,P2,0.9962109004738882,0.1152002555941358,2,1,ok,0.0033664882330246915,1,sam3_if_supported,1,ok,1,9,0.9934918910061534,0.5647509578544061,low
0132.jpg,P2,1.0081968457494983,0.12308437017746914,4,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9931806004637035,,
0133.jpg,P2,0.9691889139783435,0.15470353491512345,5,1,ok,0.0023702739197530866,1,sam3_if_supported,1,ok,1,9,0.9884298776506455,0.513869625520111,low
0134.jpg,P2,1.0408159949455906,0.16383897569444444,1,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9860678790768728,,
0135.jpg,P2,0.9350616270365568,0.16732940297067903,5,1,ok,0.0020323350694444442,1,sam3_if_supported,1,ok,1,9,0.987146253938616,0.453781512605042,low
0136.jpg,P1,0.7722957185847085,0.1247069106867284,9,1,ok,0.0003432436342592593,1,sam3_if_supported,1,ok,1,9,0.969970587151801,0.32977850697292865,low
0137.jpg,P1,0.7841849439729618,0.12631245177469136,9,1,ok,0.0005203510802469136,1,sam3_if_supported,1,ok,1,9,0.9763017913108485,0.350541215653622,low
0138.jpg,P2,0.7352815969377898,0.1671753231095679,1,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9912340736712825,,
0139.jpg,P2,0.6991044829746149,0.14338927469135804,3,1,ok,0.0037764033564814813,1,sam3_if_supported,1,ok,1,9,0.9937522506146282,0.6968690702087287,low
0140.jpg,P2,1.003579704137091,0.14980782214506172,2,1,ok,0.005068238811728395,1,sam3_if_supported,1,ok,1,9,0.9914970746205003,0.5952566096423018,low
0141.jpg,P2,1.0172363078140472,0.1559494357638889,3,1,ok,0.007733651620370371,1,sam3_if_supported,1,ok,1,9,0.9940578886104244,0.6443433029908973,low
0142.jpg,P2,1.0442627991095408,0.1601511863425926,3,1,ok,0.008057243441358025,1,sam3_if_supported,1,ok,1,9,0.9922593870290631,0.6456514710636923,low
0143.jpg,P2,0.7840527445067136,0.15985689139660494,4,1,ok,0.0013037712191358024,1,sam3_if_supported,1,ok,1,9,0.9938179747137676,0.6020321761219306,low
0144.jpg,P2,0.7909668130950327,0.1634742717978395,5,1,ok,0.004009693287037037,1,sam3_if_supported,1,ok,1,9,0.9922814806190239,0.6469194312796208,low
0145.jpg,P2,1.0208761220397469,0.17258198302469135,3,1,ok,0.004254798418209876,0,sam3_if_supported,1,ok,1,9,0.9931734820828078,0.7112380952380952,ok
0146.jpg,P2,1.070433801519483,0.170864559220679,2,1,ok,0.0021727912808641977,1,sam3_if_supported,1,ok,1,9,0.9944268033736493,0.6672045179507866,low
0147.jpg,P2,1.0876056495069848,0.17247166763117283,5,1,ok,0.0034282166280864197,0,sam3_if_supported,1,ok,1,9,0.9909950260820447,0.7639353400222966,ok
0148.jpg,P2,1.0907282910150673,0.16617778260030863,9,1,ok,0.0020276331018518516,0,sam3_if_supported,1,ok,1,9,0.9906832549042363,0.7824548991864166,ok
0149.jpg,P2,1.091939808028514,0.15130051601080247,5,1,ok,0.0020013503086419755,0,sam3_if_supported,1,ok,1,9,0.9902773616764929,0.8232828119961303,ok
0150.jpg,P2,1.0673959147726222,0.129751277970679,2,1,ok,0.0016415895061728395,0,sam3_if_supported,1,ok,1,9,0.9923122023201734,0.7884986491702045,ok
0151.jpg,P2,1.087018845504252,0.1290061969521605,4,1,ok,0.002531105324074074,0,sam3_if_supported,1,ok,1,9,0.9922585995700811,0.7078947368421052,ok
0152.jpg,P2,1.0613271715290948,0.14008210358796297,2,1,ok,0.0013054591049382715,1,sam3_if_supported,1,ok,1,9,0.9933687728537559,0.571993670886076,low
0153.jpg,P2,1.1369912237599655,0.14460262345679012,2,1,ok,0.0011285927854938272,1,sam3_if_supported,1,ok,1,9,0.9888044933283251,0.4781659388646288,low
0154.jpg,P2,0.9807466680522336,0.13422260802469135,2,1,ok,0.000785108024691358,1,sam3_if_supported,1,ok,1,9,0.9921086893864853,0.5718349928876245,low
0155.jpg,P2,0.9579639330681573,0.12802432966820987,6,1,ok,0.0004302903163580247,1,sam3_if_supported,1,ok,1,9,0.9883711810900117,0.5788590604026845,low
0156.jpg,P2,0.8541744936496359,0.1044948398919753,5,1,ok,0.001302445023148148,1,sam3_if_supported,1,ok,1,9,0.9877920691093433,0.5686015831134564,low
0157.jpg,P2,0.8695121029723498,0.08050142264660494,5,1,ok,0.0033459924768518517,1,sam3_if_supported,1,ok,1,9,0.9814628459992687,0.6717885679164106,low
0158.jpg,P2,0.8804361973693422,0.06907865547839506,3,1,ok,0.004679904513888889,1,sam3_if_supported,1,ok,1,9,0.9823214121902316,0.6464026770775237,low
0159.jpg,P1,0.8321077961445444,0.04308051215277778,1,1,ok,0.0020506606867283952,1,sam3_if_supported,1,ok,1,9,0.9831639742538947,0.3778409090909091,low
0160.jpg,P1,0.8690487791487045,0.04401909722222222,1,1,ok,0.0010695167824074075,1,sam3_if_supported,1,ok,1,9,0.9840733048944769,0.37862468931234466,low
0161.jpg,P2,0.9064363363375993,0.06358543113425925,4,1,ok,0.007836009837962963,1,sam3_if_supported,1,ok,1,9,0.9675697652289753,0.6169171618315274,low
