image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0172.jpg,0172,2072,1029,0.496861419604056,low
0150.jpg,0150,2591,2043,0.7884986491702045,ok
0166.jpg,0166,5661,1981,0.3499381734675852,low
0149.jpg,0149,3101,2553,0.8232828119961303,ok
0179.jpg,0179,1244,697,0.5602893890675241,low
0176.jpg,0176,1058,569,0.5378071833648393,low
0175.jpg,0175,1386,757,0.5461760461760462,low
0178.jpg,0178,1852,1302,0.703023758099352,ok
0180.jpg,0180,1163,306,0.26311263972484955,low
0177.jpg,0177,915,492,0.5377049180327869,low
0168.jpg,0168,6351,2136,0.3363249881908361,low
0173.jpg,0173,2541,1381,0.5434868162140889,low
0181.jpg,0181,3321,2526,0.7610726122326001,ok
0174.jpg,0174,3202,1886,0.5891908778506717,low
0184.jpg,0184,9503,9038,0.9510680837630222,ok
0182.jpg,0182,8122,7487,0.9218172863826644,ok
0183.jpg,0183,9576,9056,0.9456975772765246,ok
0206.jpg,0206,842,584,0.6935866983372921,low
0185.jpg,0185,10537,9842,0.9340419474233653,ok
0207.jpg,0207,562,291,0.5177935943060499,low
0203.jpg,0203,1340,905,0.6753731343283582,low
0209.jpg,0209,653,222,0.33996937212863704,low
0192.jpg,0192,3853,3552,0.9218790552815987,ok
0208.jpg,0208,653,262,0.4012251148545176,low
0191.jpg,0191,3922,3579,0.9125446200917899,ok
0194.jpg,0194,4302,3995,0.9286378428637843,ok
0190.jpg,0190,5539,5157,0.9310344827586207,ok
0193.jpg,0193,4623,4326,0.9357560025957171,ok
0202.jpg,0202,2998,2485,0.8291624958291625,ok
0189.jpg,0189,5499,5022,0.9132569558101473,ok
0204.jpg,0204,2718,2248,0.8270787343635025,ok
0199.jpg,0199,6158,5622,0.9134037367993502,ok
0198.jpg,0198,6138,5555,0.9050179211469535,ok
0188.jpg,0188,9144,8528,0.9326334208223972,ok
0186.jpg,0186,10042,9303,0.926409081856204,ok
0201.jpg,0201,6973,6445,0.924279363258282,ok
0187.jpg,0187,9881,9219,0.9330027325169518,ok
0205.jpg,0205,6806,6328,0.9297678518953865,ok
0195.jpg,0195,9215,8840,0.959409594095941,ok
0197.jpg,0197,10036,9433,0.939916301315265,ok
0200.jpg,0200,8893,8301,0.9341661039837947,ok
0196.jpg,0196,10542,10008,0.9495256166982923,ok
