图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0033.jpg,0.39998601680228035,0.7337444078789513,0.3001135996573864,0.23526318667653445,0.06220851640778114,0,0.3042128603104213,low,1
0034.jpg,0.42816175220835856,0.5482334040228777,0.5356346485928676,0.22328996943770463,0.31032604195138885,0,0.2669735327963176,low,1
0035.jpg,0.6115255195242133,0.6669084246287743,1.50993743561396,0.21740049361379676,0.4917163166712877,1,0.5510606808090774,low,1
0036.jpg,0.1737333567029933,0.23604854124433017,0.033458022306089734,0.2275746774671037,0.17238794882786254,0,0.7236220472440945,ok,0
0037.jpg,0.13498881130143564,0.14274990367221463,0.09605464112700551,0.2273805928005591,0.027783576895129173,0,0.7380597014925373,ok,0
0038.jpg,0.12370571838569418,0.15900880402940387,0.029852203493155486,0.23445047005989694,0.013179790580931466,0,0.7296831955922864,ok,0
0039.jpg,0.6467655574762038,0.9875677524014103,0.6082506237734705,0.23449949185358265,0.6028621015263127,1,0.007213706041478809,low,1
0040.jpg,0.531536948796753,0.45573822347757476,0.8141774515424642,0.23000759724757391,0.7398820558806153,1,0.020097020097020097,low,1
0041.jpg,0.5285377522197635,0.8041040058923115,0.4971212958485874,0.26464003629961763,0.3777401141360219,1,0.009846827133479213,low,1
0042.jpg,0.17850109193504096,0.2684855649381802,0.10375780801972476,0.23143049664645665,0.004893786934216912,0,0.0057777777777777775,low,1
0043.jpg,0.7996661414012137,1.0,1.8753026912702304,0.24507916594774792,0.9226423327618449,1,0.6416061512174285,low,1
0044.jpg,0.5459788496709329,0.7449991273601675,0.7063940588808298,0.2102664172220211,0.3737602404610771,1,0.1353001017293998,low,1
0045.jpg,0.23851651181323025,0.42645332543702874,0.02594732470691816,0.18657629992461666,0.24084627834924321,0,0.16910785619174434,low,1
0046.jpg,0.25756697705169496,0.5450845403460329,0.06054023924122316,0.20390035201071421,0.00451493411732713,0,0.19307654802535348,low,1
0047.jpg,0.19339170443416093,0.3179388233728647,0.10916311062723956,0.17001276388762598,0.08212765083294606,0,0.199698568198945,low,1
0048.jpg,0.09421239294335278,0.11478811481918805,0.053489430356182394,0.1566073222557689,0.010082430690994256,0,0.1951129211403184,low,1
0049.jpg,0.5969637132278195,0.7388225157476707,1.783104745721568,0.21096761763209426,0.23755952205407482,1,0.673697804563065,low,1
0050.jpg,0.5246257177662486,0.7419659791405468,0.6395782560734717,0.19600824549237894,0.3736066645039632,1,0.15497630331753554,low,1
0051.jpg,0.18323986498227715,0.22523452797287946,0.054909036556200844,0.2034858307233931,0.26539375581247254,0,0.2721788502484031,low,1
0052.jpg,0.16266352030127193,0.2566441708042406,0.024261662957565603,0.20777817228626327,0.09885401139220341,0,0.28524590163934427,low,1
0053.jpg,0.12445465939587078,0.13933669556009587,0.015532745601200064,0.20397137341621074,0.13873857463656344,0,0.3135156559651209,low,1
0054.jpg,0.5814943617937595,0.6487274083347762,1.672925920696808,0.21078813949213515,0.3449515600236934,1,0.6309217774513405,low,1
0055.jpg,0.22079115941607394,0.22550607904279196,0.10707189728379,0.2236059724444186,0.39463042879363075,0,0.3263069139966273,low,1
0056.jpg,0.30604705113124453,0.2735940628589685,0.14739363162437108,0.22305583492476455,0.784511749955478,0,0.5241080038572806,low,1
0057.jpg,0.13906916058274232,0.18288134536930056,0.004301592673279846,0.23943621358027356,0.09417492093399182,0,0.5663675011809164,low,1
0058.jpg,0.17009069447227843,0.24235336910487737,0.002812885833954083,0.2727683464957591,0.10914471468762044,0,0.5854758682904826,low,1
0059.jpg,0.1433276643192382,0.15789428599050137,0.013007189990245317,0.27808884913043064,0.10193769628262506,0,0.5138522427440633,low,1
0060.jpg,0.14651137974465858,0.11859510434569742,0.03677946630254089,0.2714101666659219,0.18637123321032523,0,0.49772579597141,low,1
0061.jpg,0.15728264112171758,0.17418126139720425,0.05792070822214142,0.2677366623669498,0.09936571323615527,0,0.46404715127701374,low,1
0062.jpg,0.2349159042796598,0.2616299592750547,0.13469366700564467,0.25332444397620724,0.30893927191951803,0,0.3333333333333333,low,1
0063.jpg,0.1771420786159481,0.2052723787847025,0.04141749798592784,0.25104063524039744,0.21454808489813945,0,0.4666666666666667,low,1
0064.jpg,0.13778644870853374,0.19371449601405621,0.009279793796897876,0.2700896909298983,0.0009600261461001283,0,0.4056482670089859,low,1
0065.jpg,0.17546380108899579,0.173653483801543,0.08172846761599453,0.2524908545843677,0.20753500805576783,0,0.4925438596491228,low,1
0066.jpg,0.1666612510620015,0.1880889829494845,0.03494742625177413,0.2567162763951699,0.18609454245297272,0,0.3831258644536653,low,1
0067.jpg,0.17849839705414408,0.19297385262788758,0.08605405063491303,0.2537187755958742,0.1734289471779109,0,0.4952107279693487,low,1
0068.jpg,0.11970667307057375,0.14117434811566332,0.004707420630529322,0.2584222782277954,0.030088176770069454,0,0.45723053317990026,low,1
0069.jpg,0.15216285152357498,0.17609622630943145,0.0011484079554681763,0.24906714726427204,0.1865018900689262,0,0.46410684474123537,low,1
0070.jpg,0.2596975099164914,0.20901561929387868,0.12957886430721569,0.2558474317671642,0.601236460966926,0,,,0
0071.jpg,0.3014038310070425,0.16844677783009798,0.09609444250449913,0.27369539256153386,1.71191115624121,0,0.46078813889972686,low,1
0072.jpg,0.27561690310983233,0.20709921477839566,0.15909842794652812,0.2785885639774306,0.6247361997093611,0,,,0
0073.jpg,0.17322925240106452,0.12473217325136665,0.046868283584807956,0.2753093580784468,0.32685720898181675,0,0.25156110615521854,low,1
0074.jpg,0.21537972150572396,0.24170368122281838,0.04622973067019288,0.27475653405956146,0.3369124459686596,0,0.316622691292876,low,1
0075.jpg,0.15223254750619292,0.2140056835252513,0.026546111875156896,0.2801297259621549,0.004410658753513461,0,0.3670774647887324,low,1
0076.jpg,0.17408197380054907,0.2539453339458382,0.019616260647276645,0.3016785355351387,0.03251605249267928,0,0.325085910652921,low,1
0077.jpg,0.1499655010684378,0.17399303044810555,0.04219077443227959,0.28939054794993,0.041150732106989864,0,0.402104032729398,low,1
0078.jpg,0.48989937596184957,0.6750254374064371,0.6183185508828309,0.2777450429355379,0.19749716276669632,0,0.13312532501300053,low,1
0079.jpg,0.1381269623792283,0.16174892099831117,0.0436639013927554,0.2734930840794072,0.01483729107852503,0,0.14335260115606938,low,1
0080.jpg,0.5674988651936137,0.6592754032114212,1.453087476768225,0.2632735921018987,0.13956050696094408,1,0.23916408668730652,low,1
0081.jpg,0.21841868590585312,0.34514395460093594,0.051808531467340754,0.2553132546490414,0.13891903510953338,0,0.25206301575393847,low,1
0082.jpg,0.2634157039035424,0.30999798044078697,0.08856847870000445,0.2518748033649081,0.4653706015535922,0,0.5150195907705704,low,1
0083.jpg,0.1291070582176735,0.13364663881144012,0.051191668137454724,0.24231153874651612,0.05969955275117821,0,0.4835164835164835,low,1
